"Parcel ID PCL398114 was shipped by Michael Brown from 456 Maple Ave, Los Angeles, CA 90001 with contact number +1-555-4253 to Sara Davis at 202 Birch Blvd, Phoenix, AZ 85001, reachable at +1-555-8367. The parcel weighs 7.75 kg and has dimensions of 97x16x70. It was shipped on 2024-11-17 and is estimated to be delivered by 2024-11-17. The current delivery status is 'Delivered', and it was sent via Standard with a tracking number of TRK389255020. The shipping cost was $8.66 and the insurance value is $257.34. The parcel is marked as Yes and No. Special instructions include: N/A. There have been 1 delivery attempts, and the last known location of the parcel was Distribution Center, Phoenix, AZ. The courier ID for this shipment is CR9571."

"Parcel ID PCL761243 was shipped by John Doe from 101 Pine St, Houston, TX 77001 with contact number +1-555-2574 to Sara Davis at 123 Elm St, New York, NY 10001, reachable at +1-555-3140. The parcel weighs 11.91 kg and has dimensions of 43x64x11. It was shipped on 2024-11-23 and is estimated to be delivered by 2024-11-11. The current delivery status is 'In Transit', and it was sent via Standard with a tracking number of TRK278841245. The shipping cost was $5.78 and the insurance value is $344.57. The parcel is marked as Yes and No. Special instructions include: N/A. There have been 1 delivery attempts, and the last known location of the parcel was Distribution Center, Phoenix, AZ. The courier ID for this shipment is CR8429."

"Parcel ID PCL104639 was shipped by John Doe from 202 Birch Blvd, Phoenix, AZ 85001 with contact number +1-555-3768 to Bob Johnson at 123 Elm St, New York, NY 10001, reachable at +1-555-9256. The parcel weighs 5.65 kg and has dimensions of 45x39x53. It was shipped on 2024-11-09 and is estimated to be delivered by 2024-11-25. The current delivery status is 'Out for Delivery', and it was sent via Express with a tracking number of TRK696430980. The shipping cost was $39.66 and the insurance value is $325.55. The parcel is marked as No and No. Special instructions include: Deliver to reception. There have been 1 delivery attempts, and the last known location of the parcel was Distribution Center, Phoenix, AZ. The courier ID for this shipment is CR8897."

"Parcel ID PCL768961 was shipped by Linda Black from 456 Maple Ave, Los Angeles, CA 90001 with contact number +1-555-2027 to Sara Davis at 202 Birch Blvd, Phoenix, AZ 85001, reachable at +1-555-3973. The parcel weighs 15.05 kg and has dimensions of 23x99x83. It was shipped on 2024-11-18 and is estimated to be delivered by 2024-11-16. The current delivery status is 'Delayed', and it was sent via Express with a tracking number of TRK588614196. The shipping cost was $45.52 and the insurance value is $218.93. The parcel is marked as No and No. Special instructions include: Handle with care. There have been 3 delivery attempts, and the last known location of the parcel was Distribution Center, Houston, TX. The courier ID for this shipment is CR4388."

"Parcel ID PCL935942 was shipped by Alice Green from 101 Pine St, Houston, TX 77001 with contact number +1-555-3594 to Mike Lee at 101 Pine St, Houston, TX 77001, reachable at +1-555-8828. The parcel weighs 13.2 kg and has dimensions of 43x83x93. It was shipped on 2024-11-18 and is estimated to be delivered by 2024-11-01. The current delivery status is 'Delayed', and it was sent via Express with a tracking number of TRK897242703. The shipping cost was $9.07 and the insurance value is $255.49. The parcel is marked as No and No. Special instructions include: Deliver to reception. There have been 1 delivery attempts, and the last known location of the parcel was Distribution Center, Phoenix, AZ. The courier ID for this shipment is CR9727."

"Parcel ID PCL595560 was shipped by John Doe from 123 Elm St, New York, NY 10001 with contact number +1-555-1235 to Bob Johnson at 123 Elm St, New York, NY 10001, reachable at +1-555-8395. The parcel weighs 2.11 kg and has dimensions of 35x85x47. It was shipped on 2024-11-27 and is estimated to be delivered by 2024-11-25. The current delivery status is 'Delivered', and it was sent via Express with a tracking number of TRK106569688. The shipping cost was $14.39 and the insurance value is $377.82. The parcel is marked as Yes and Yes. Special instructions include: Deliver to reception. There have been 1 delivery attempts, and the last known location of the parcel was Distribution Center, Los Angeles, CA. The courier ID for this shipment is CR2915."

"Parcel ID PCL409380 was shipped by Alice Green from 101 Pine St, Houston, TX 77001 with contact number +1-555-7417 to Bob Johnson at 789 Oak Rd, Chicago, IL 60601, reachable at +1-555-2937. The parcel weighs 1.64 kg and has dimensions of 44x28x12. It was shipped on 2024-11-25 and is estimated to be delivered by 2024-11-03. The current delivery status is 'Out for Delivery', and it was sent via Express with a tracking number of TRK465769876. The shipping cost was $34.61 and the insurance value is $183.74. The parcel is marked as Yes and Yes. Special instructions include: Handle with care. There have been 2 delivery attempts, and the last known location of the parcel was Distribution Center, Houston, TX. The courier ID for this shipment is CR9008."

"Parcel ID PCL616284 was shipped by Linda Black from 202 Birch Blvd, Phoenix, AZ 85001 with contact number +1-555-7648 to Bob Johnson at 202 Birch Blvd, Phoenix, AZ 85001, reachable at +1-555-9386. The parcel weighs 18.09 kg and has dimensions of 89x59x99. It was shipped on 2024-11-23 and is estimated to be delivered by 2024-11-12. The current delivery status is 'Delivered', and it was sent via Standard with a tracking number of TRK762951228. The shipping cost was $11.87 and the insurance value is $437.38. The parcel is marked as Yes and Yes. Special instructions include: Ring bell. There have been 2 delivery attempts, and the last known location of the parcel was Distribution Center, New York, NY. The courier ID for this shipment is CR6745."

"Parcel ID PCL137312 was shipped by John Doe from 123 Elm St, New York, NY 10001 with contact number +1-555-5674 to Mike Lee at 202 Birch Blvd, Phoenix, AZ 85001, reachable at +1-555-6722. The parcel weighs 17.7 kg and has dimensions of 97x53x66. It was shipped on 2024-11-22 and is estimated to be delivered by 2024-11-11. The current delivery status is 'Delivered', and it was sent via Express with a tracking number of TRK648126009. The shipping cost was $44.7 and the insurance value is $225.68. The parcel is marked as No and Yes. Special instructions include: Leave at front door. There have been 3 delivery attempts, and the last known location of the parcel was Distribution Center, Phoenix, AZ. The courier ID for this shipment is CR4214."

"Parcel ID PCL418086 was shipped by John Doe from 101 Pine St, Houston, TX 77001 with contact number +1-555-8484 to Sara Davis at 101 Pine St, Houston, TX 77001, reachable at +1-555-8251. The parcel weighs 4.13 kg and has dimensions of 94x99x20. It was shipped on 2024-11-20 and is estimated to be delivered by 2024-11-26. The current delivery status is 'Out for Delivery', and it was sent via Express with a tracking number of TRK578262520. The shipping cost was $28.14 and the insurance value is $372.88. The parcel is marked as No and No. Special instructions include: Handle with care. There have been 3 delivery attempts, and the last known location of the parcel was Distribution Center, New York, NY. The courier ID for this shipment is CR6216."

"Parcel ID PCL202754 was shipped by Chris White from 789 Oak Rd, Chicago, IL 60601 with contact number +1-555-6164 to Jane Smith at 101 Pine St, Houston, TX 77001, reachable at +1-555-6717. The parcel weighs 6.26 kg and has dimensions of 37x23x16. It was shipped on 2024-11-14 and is estimated to be delivered by 2024-11-22. The current delivery status is 'Delivered', and it was sent via Express with a tracking number of TRK392814023. The shipping cost was $37.22 and the insurance value is $275.41. The parcel is marked as Yes and No. Special instructions include: Deliver to reception. There have been 2 delivery attempts, and the last known location of the parcel was Distribution Center, Phoenix, AZ. The courier ID for this shipment is CR6839."

"Parcel ID PCL889642 was shipped by Linda Black from 123 Elm St, New York, NY 10001 with contact number +1-555-7280 to Bob Johnson at 101 Pine St, Houston, TX 77001, reachable at +1-555-8508. The parcel weighs 9.8 kg and has dimensions of 32x18x100. It was shipped on 2024-11-24 and is estimated to be delivered by 2024-11-16. The current delivery status is 'Delivered', and it was sent via Express with a tracking number of TRK655502156. The shipping cost was $38.2 and the insurance value is $308.46. The parcel is marked as Yes and No. Special instructions include: Handle with care. There have been 2 delivery attempts, and the last known location of the parcel was Distribution Center, Phoenix, AZ. The courier ID for this shipment is CR3523."

